newsHeadline,sentiment,preprocessed_txt
Upon completion of the deal Panostaja will establish a new business area within the group to focus on heat treatment of metals .,neutral,upon completion deal panostaja establish new business area within groincrease focus heat treatment metal
"Vacon aims to establish its presence in the solar energy business in various parts of the world towards the end of 2010 , said Olli Teva , marketing director renewable energy applications .",neutral,vacon aim establish presence solar energy business various part world towards end 2010 said olli teva marketing director renewable energy application
Vaisala 's board of directors will propose a dividend of 0.85 euro $ 1.24 per share at the company 's annual general meeting .,neutral,vaisala board director propose dividend 085 euro dollar 124 per share company annual general meeting
Vaisala 's expertise in lightning data and information systems is based on extensive experience and investment in R&D .,neutral,vaisala expertise lightning data information system based extensive experience investment randd
Valmet Automotive reports net sales of EUR 85mn and operating profit of EUR 8mn .,neutral,valmet automotive report net sale eur 85mn operating profit eur 8mn
"We bring a new , committed leadership and business and strategic know-how to the company that we buy .",neutral,bring new committed leadership business strategic knowhow company buy
"We look forward to take part in the future development of the company , '' says Tomas Billing , President of Nordstjernan .",neutral,look forward take part future development company say tomas billing president nordstjernan
"Veidekke , headquartered in Oslo , Norway , is a Scandinavian construction and property development group with some 6,350 employees in Norway , Sweden and Denmark , with an annual turnover of NOK16 .4 bn .",neutral,veidekke headquartered oslo norway scandinavian construction property development groincrease 6350 employee norway sweden denmark annual turnover nok16 4 bn
"While the company did not indicate the level of investment in the unit , it said that has purchased the equipment of Nokia Corporation 's mobile phone R&D laboratory in Jyvaeskylae .",neutral,company indicate level investment unit said purchased equipment nokia corporation mobile phone randd laboratory jyvaeskylae
Why not subscribe to the magazine ?,neutral,subscribe magazine
Vianor sells tires for cars and trucks as well as a range of other car parts and provides maintenance services .,neutral,vianor sell tire car truck well range car part provides maintenance service
Viking Line and STX Finland said on Monday that there were plans to build a 240 million euro ferry that would be launched on the Turku-Stockholm route in spring 2013 .,neutral,viking line stx finland said monday plan build 240 million euro ferry launched turkustockholm route spring 2013
"With the government exempting certain stainless steel products from anti-dumping duties , Finland-based Outokumpu today said it will look to enter into supply pacts with the Indian Railways soon .",neutral,government exempting certain stainless steel product antidumping duty finlandbased outokumpu said look enter sincreaseply pact indian railway soon
"With the new arrangement , customer responsibilities will become mainly regional .",neutral,new arrangement customer responsibility become mainly regional
"With this acquisition the wireless modem unit and its approximately 1,100 employees were transferred to Renesas Electronics Corporation .",neutral,acquisition wireless modem unit approximately 1100 employee transferred renesas electronics corporation
You will hear the latest insights and updates on Citycon 's strategy as well as the latest news from all the business units .,neutral,hear latest insight increasedates citycon strategy well latest news business unit
The personnel reductions will primarily affect those working for the parent company in the diagnostics business or in production and logistics in the liquid handling business .,negative,personnel reduction primarily affect working parent company diagnostics business production logistics liquid handling business
"In the Asia-Pacific region , Visa Wave is available in Malaysia , Taiwan and South Korea and will be expanded to Japan and Southeast Asia this year , Jung added .",positive,asiapacific region visa wave available malaysia taiwan south korea expanded japan southeast asia jung added
"In the third quarter of fiscal 2008 Efore swung to a net loss of EUR 400,000 versus a net profit of EUR 200,000 for the corresponding period of fiscal 2007 .",negative,third quarter fiscal 2008 efore swung net loss eur 400000 versus net profit eur 200000 corresponding period fiscal 2007
"Konecranes Oyj KCR1V FH fell 5.5 percent to 20.51 euros , the biggest fall since June .",negative,konecranes oyj kcr1v fh fell 55 percent 2051 euro biggest fall since june
"Meanwhile , minority shareholders , expecting TeliaSonera to retain the bid , sell shares now .",neutral,meanwhile minority shareholder expecting teliasonera retain bid sell share
"Net sales for the financial year 2006 are expected to amount to about EUR20m and the operating result EBIT is expected to be a loss , as announced before .",negative,net sale financial 2006 expected amount eur20m operating result ebit expected loss announced
Operating loss totaled EUR 25mn compared to a profit of EUR 63mn in the corresponding period in 2005 .,negative,operating loss totaled eur 25mn compared profit eur 63mn corresponding period 2005
"Production levels have been agreed with producers a long time ago , so a fall in consumption will lead to losses .",negative,production level agreed producer long time ago fall consumption lead loss
Return on investment ROI was 4.1 % compared to 43.8 % in the first half of 2008 .,negative,return investment roi 41 percent compared 438 percent first half 2008
"SSH COMMUNICATIONS SECURITY CORP STOCK EXCHANGE RELEASE OCTOBER 14 , 2008 AT 2:45 PM The Company updates its full year outlook and estimates its results to remain at loss for the full year .",negative,ssh communication security corp stock exchange release october 14 2008 245 pm company increasedates full outlook estimate result remain loss full
"The sale will result in a capital loss of EUR5m for Solidium , which obtained Tikkurila shares in March 2010 .",negative,sale result capital loss eur5m solidium obtained tikkurila share march 2010
- The Group - s result before taxes was a loss of EUR 0.6 ( +0.6 ) million .,neutral,groincrease result tax loss eur 06 06 million
- The Group - s result before taxes was EUR -1.9 ( -3.0 ) million .,negative,groincrease result tax eur 19 30 million
"- The Group 's sales during the period were EUR 37.5 million ( EUR 48.2 million , 1-9/2008 ) and result before taxes was a loss of EUR -3.5 ( +1.2 ) million .",negative,groincrease sale period eur 375 million eur 482 million 192008 result tax loss eur 35 12 million
The fair value of investment properties was EUR 2 251.0 ( 1 281.4 ) million .,neutral,fair value investment property eur 2 2510 1 2814 million
"A total of 16.5 mn passenger ship journeys took place in the northern Baltic Sea in 2007 , slightly down from 16.5 mn in 2006 .",negative,total 165 mn passenger ship journey took place northern baltic sea 2007 slightly decrease 165 mn 2006
Finnish media group Talentum has issued a profit warning .,negative,finnish medium groincrease talentum issued profit warning
"Finnish shipping company Finnlines ' pretax loss totalled EUR 6.5 mn in the third quarter of 2009 , compared to a profit of EUR 0.3 mn in the third quarter of 2008 .",negative,finnish shipping company finnlines pretax loss totalled eur 65 mn third quarter 2009 compared profit eur 03 mn third quarter 2008
"In Finland , the city of Forssa has said it will not pay compensation to food industry companies HK Ruokatalo and Atria for the lye leak into tap water that occurred in March 2008 .",negative,finland city forssa said pay compensation food industry company hk ruokatalo atrium lye leak tap water occurred march 2008
"Acando AB ( ACANB SS ) fell 8.9 percent to 13.35 kronor , the lowest close since Dec. 11 .",negative,acando ab acanb s fell 89 percent 1335 kronor lowest close since dec 11
"According shipping company Viking Line , the EU decision will have a significant financial impact .",neutral,according shipping company viking line eu decision significant financial impact
"According to CEO Matti Perkonoja of the parent company HKScan , the company 's performance in the first quarter of 2010 has remained clearly below the level of the corresponding period in 2009 .",negative,according ceo matti perkonoja parent company hkscan company performance first quarter 2010 remained clearly level corresponding period 2009
"At some point in 2010 , all separate company names , such as Palmberg , Tekmanni , Lemcon , Forssan Betoni , Suonenjoen Betonituote , among others , will disappear .",neutral,point 2010 separate company name palmberg tekmanni lemcon forssan betoni suonenjoen betonituote among others disappear
"Cencorp 's net sales in the first quarter is estimated to be EUR0.9-1 .2 m , as compared to EUR4 .5 m in the first quarter 2008 .",negative,cencorp net sale first quarter estimated eur091 2 compared eur4 5 first quarter 2008
Diluted earnings per share ( EPS ) stood at EUR 0.25 versus EUR 0.42 .,negative,diluted earnings per share earnings per share stood eur 025 versus eur 042
Earnings per share ( EPS ) amounted to a loss of EUR0 .05 .,negative,earnings per share earnings per share amounted loss eur0 05
Earnings per share ( EPS ) amounted to a loss of EUR0 .38 .,negative,earnings per share earnings per share amounted loss eur0 38
Earnings per share ( EPS ) amounted to a loss of to EUR0 .06 .,negative,earnings per share earnings per share amounted loss eur0 06
Earnings per share were at loss of EUR0 .24 .,negative,earnings per share loss eur0 24
Expense ratio was 102.6 % compared to 92.9 % in the corresponding period in 2005 .,negative,expense ratio 1026 percent compared 929 percent corresponding period 2005
Finnish automation solutions developer Cencorp Corporation ( OMX Helsinki : CNC1V ) issued on Thursday ( 18 September ) a profit warning for the third quarter of 2008 .,negative,finnish automation solution developer cencorp corporation omx helsinki cnc1v issued thursday 18 september profit warning third quarter 2008
Finnish automation solutions developer Cencorp Corporation ( OMX Helsinki : CNC1V ) reported on Thursday ( 6 November ) an operating loss of EUR1 .3 m on net sales of EUR11 .9 m for the period January to September 2008 .,neutral,finnish automation solution developer cencorp corporation omx helsinki cnc1v reported thursday 6 november operating loss eur1 3 net sale eur11 9 period january september 2008
Finnish communication electronics components supplier Scanfil Oyj Tuesday said sales in the first half of 2006 will be 15 % lower than during the same period a year ago .,negative,finnish communication electronics component sincreaseplier scanfil oyj tuesday said sale first half 2006 15 percent lower period ago
Finnish forest industry group Stora Enso Oyj issued on Thursday ( 20 March ) a profit warning for the first quarter 2008 .,negative,finnish forest industry groincrease stora enso oyj issued thursday 20 march profit warning first quarter 2008
Finnish home decoration and arts and crafts retailer Tiimari Plc ( OMX Helsinki : TII1V ) reported on Monday ( 18 August ) an operating loss of EUR3 .3 m on net sales of EUR33 .9 m for the period January-June 2008 .,neutral,finnish home decoration art craft retailer tiimari plc omx helsinki tii1v reported monday 18 august operating loss eur3 3 net sale eur33 9 period januaryjune 2008
Finnish technology company Raute Corporation ( OMX Helsinki : RUTAV ) issued on Tuesday ( 23 September ) a profit warning for the financial year 2008 .,negative,finnish technology company raute corporation omx helsinki rutav issued tuesday 23 september profit warning financial 2008
He said : `` It is for sale again and we will be actively marketing it .,neutral,said sale actively marketing
"In Q1 of 2009 , the company 's operating loss totalled EUR 0.3 mn , compared to a profit of EUR 3.6 mn in Q1 of 2008 .",negative,quarter 1 2009 company operating loss totalled eur 03 mn compared profit eur 36 mn quarter 1 2008
"In the reporting period , EPS stood at EUR0 .07 versus EUR0 .11 .",negative,reporting period earnings per share stood eur0 07 versus eur0 11
"Last year , 8.3 million passengers flew the airline , down 4 percent from 2007 .",negative,last 83 million passenger flew airline decrease 4 percent 2007
"Loss after financial items totalled EUR 9.7 mn , compared to a profit of EUR 1.3 mn in the corresponding period in 2008 .",negative,loss financial item totalled eur 97 mn compared profit eur 13 mn corresponding period 2008
Loss for the period totalled EUR 15.6 mn compared to a profit of EUR 6.3 mn in 2008 .,negative,loss period totalled eur 156 mn compared profit eur 63 mn 2008
"Myllykoski , with one paper plant in Finland , one in the US and three in Germany , had revenues of EUR286m in the first half of 2010 and an operating loss of EUR12m , Reuters said .",negative,myllykoski one paper plant finland one u three germany revenue eur286m first half 2010 operating loss eur12m reuters said
Net loss in the same period in 2009 was euro18 .6 million .,neutral,net loss period 2009 euro18 6 million
Nokia Siemens Networks has struggled to make a profit in the past two years .,negative,nokia siemens network struggled make profit past two year
Operating loss amounted to EUR 0.9 mn in the first half of 2006 compared to a profit of EUR 0.5 mn in the first half of 2005 .,negative,operating loss amounted eur 09 mn first half 2006 compared profit eur 05 mn first half 2005
"Operating loss of the Pulp & Paper Machinery unit was over EUR 3mn in September 2007 - August 2008 , compared to a profit of EUR 3.7 mn a year earlier .",negative,operating loss pulp paper machinery unit eur 3mn september 2007 august 2008 compared profit eur 37 mn earlier
Operating loss totaled EUR 0.3 mn compared to a profit of EUR 2.2 mn in the corresponding period in 2007 .,negative,operating loss totaled eur 03 mn compared profit eur 22 mn corresponding period 2007
"Operating loss totaled EUR 0.8 mn , compared to a profit of EUR 0.5 mn .",negative,operating loss totaled eur 08 mn compared profit eur 05 mn
"Operating loss totalled EUR 12.7 mn , compared to a profit of EUR 17.7 mn in the first half of 2008 .",negative,operating loss totalled eur 127 mn compared profit eur 177 mn first half 2008
"Operating loss totalled EUR 3.2 mn , compared to a profit of EUR 7.2 mn in the third quarter of 2008 .",negative,operating loss totalled eur 32 mn compared profit eur 72 mn third quarter 2008
"Operating loss totalled EUR 4.0 mn , compared to a profit of EUR 8.6 mn in the second quarter of 2008 .",negative,operating loss totalled eur 40 mn compared profit eur 86 mn second quarter 2008
"Operating loss totalled EUR 5.2 mn , compared to a loss of EUR 3.4 mn in the corresponding period in 2008-2009 .",negative,operating loss totalled eur 52 mn compared loss eur 34 mn corresponding period 20082009
"Operating profit before non-recurring items was EUR 8.3 mn in the first nine months of 2008 , compared to EUR 8.4 in the corresponding period in 2007 .",negative,operating profit nonrecurring item eur 83 mn first nine month 2008 compared eur 84 corresponding period 2007
Pretax loss totaled EUR 117mn compared to a loss of EUR 65mn in the corresponding period .,negative,pretax loss totaled eur 117mn compared loss eur 65mn corresponding period
Pretax loss totalled EUR 162.3 mn compared to a profit of EUR 253.5 mn in 2007 .,negative,pretax loss totalled eur 1623 mn compared profit eur 2535 mn 2007
"Pretax loss totalled EUR 49.9 mn , compared to a loss of EUR 15.4 mn in the corresponding period in 2008 .",negative,pretax loss totalled eur 499 mn compared loss eur 154 mn corresponding period 2008
Pretax profit totaled EUR 4.9 mn compared to EUR 5.2 mn in the first quarter of 2005 .,negative,pretax profit totaled eur 49 mn compared eur 52 mn first quarter 2005
"Publishing Sweden 's operating loss was EUR 1.1 mn in Q1 of 2009 , compared to a profit of EUR 0.6 mn a year ago .",negative,publishing sweden operating loss eur 11 mn quarter 1 2009 compared profit eur 06 mn ago
Raisio 's malting capacity was in full use in 2008 .,positive,raisio malting capacity full use 2008
"Raw materials prices have surged in the past year , fueled in part because of the rapid industrialization of China , India and other developing nations .",negative,raw material price increased past fueled part rapid industrialization china india developing nation
Rivals say Qualcomm has fewer patents on 3G phones than on earlier versions and should lower its rates .,negative,rival say qualcomm fewer patent 3g phone earlier version lower rate
The company reported today an operating loss of EUR0 .1 m on net sales of EUR4 .5 m for the first quarter 2008 .,negative,company reported operating loss eur0 1 net sale eur4 5 first quarter 2008
"The company 's annual loss amounted to EEK 18mn , compared to a profit of EEK 7.3 mn in 2008 .",negative,company annual loss amounted eek 18mn compared profit eek 73 mn 2008
"The fair value change of investment properties was EUR 15.8 mn , compared to EUR 22.9 mn in the third quarter of 2009 .",negative,fair value change investment property eur 158 mn compared eur 229 mn third quarter 2009
The impact of Cableway to Teleste 's net sales in 2009 is estimated to be EUR 4 million .,neutral,impact cableway teleste net sale 2009 estimated eur 4 million
The stock was hit by the profit warning of Finnish rival Rautaruukki Oyj ( OMX : RTRKS ) .,negative,stock hit profit warning finnish rival rautaruukki oyj omx rtrks
Finnish Bank of +_land +_landsbanken has issued a profit warning .,negative,finnish bank _land _landsbanken issued profit warning
Finnish forest machinery manufacturer Ponsse has issued a profit warning .,negative,finnish forest machinery manufacturer ponsse issued profit warning
"Cerberus Capital Management LP-backed printing paper maker NewPage Corp. has posted mixed second-quarter results , casting a cloud over its planned initial public offering .",negative,cerberus capital management lpbacked printing paper maker newpage corp posted mixed secondquarter result casting cloud planned initial public offering
"Finnish electronics manufacturing services EMS company Elcoteq SE posted a net loss of 66.4 mln euro $ 91.2 mln for the first half of 2007 , compared to a net profit of 7.1 mln euro $ 9.8 mln for the same period of 2006 .",negative,finnish electronics manufacturing service em company elcoteq se posted net loss 664 mln euro dollar 912 mln first half 2007 compared net profit 71 mln euro dollar 98 mln period 2006
Finnish laboratory liquid handling and diagnostic test systems developer Biohit Oyj OMX Helsinki : BIOBV issued on Tuesday 3 June a profit warning for the financial year 2008 .,negative,finnish laboratory liquid handling diagnostic test system developer biohit oyj omx helsinki biobv issued tuesday 3 june profit warning financial 2008
Finnish retail software developer Aldata Solution Oyj reported a net loss of 11.7 mln euro $ 17.2 mln for 2007 versus a net profit of 2.5 mln euro $ 3.7 mln for 2006 .,negative,finnish retail software developer aldata solution oyj reported net loss 117 mln euro dollar 172 mln 2007 versus net profit 25 mln euro dollar 37 mln 2006
"Finnish textiles and clothing group Marimekko Oyj posted a net profit of 7.99 mln euro $ 10.4 mln for 2006 , compared to 8.4 mln euro $ 10.9 mln for 2005 .",negative,finnish textile clothing groincrease marimekko oyj posted net profit 799 mln euro dollar 104 mln 2006 compared 84 mln euro dollar 109 mln 2005
"In 2009 , Stora Enso 's net loss was EUR 879.7 million compared to EUR 673.4 million in the previous year .",negative,2009 stora enso net loss eur 8797 million compared eur 6734 million previous
"In January-June 2010 , diluted loss per share stood at EUR0 .3 versus EUR0 .1 in the first half of 2009 .",negative,januaryjune 2010 diluted loss per share stood eur0 3 versus eur0 1 first half 2009
"In October , UPM reported a third-quarter net loss of euro86 million $ 110 million compared with a net profit of euro120 million in 2007 .",negative,october upm reported thirdquarter net loss euro86 million dollar 110 million compared net profit euro120 million 2007
Operating loss amounted to EUR 0.7 mn compared to a profit of EUR 0.8 mn in the second quarter of 2005 .,negative,operating loss amounted eur 07 mn compared profit eur 08 mn second quarter 2005
"Operating loss before non-recurring items was EUR 0.9 mn , compared to a profit of EUR 11.5 mn in 2008 .",negative,operating loss nonrecurring item eur 09 mn compared profit eur 115 mn 2008
"Operating profit margin was 8.3 % , compared to 11.8 % a year earlier .",negative,operating profit margin 83 percent compared 118 percent earlier
Operating profit was EUR 1.6 mn in 2005 compared to EUR 5.9 mn in 2004 .,negative,operating profit eur 16 mn 2005 compared eur 59 mn 2004
"Operating result showed a loss of EUR 2.9 mn , while a year before , it showed a profit of EUR 0.6 mn .",negative,operating result showed loss eur 29 mn showed profit eur 06 mn
Performance in 2006 was impacted by the consolidation trend in the telecom sector and the overall and structural changes in the contract manufacturing market in telecommunications technology and industrial electronics .,negative,performance 2006 impacted consolidation trend telecom sector overall structural change contract manufacturing market telecommunication technology industrial electronics
"Salcomp Oyj , the Finnish maker of mobile phone chargers , Monday posted a EUR1 .49 million loss in the second quarter compared with a 1.70 million profit in the same period the previous year .",negative,salcomp oyj finnish maker mobile phone charger monday posted eur1 49 million loss second quarter compared 170 million profit period previous
Scanfil has also issued a profit warning .,negative,scanfil issued profit warning
Scanfil issued a profit warning on 10 April 2006 .,negative,scanfil issued profit warning 10 april 2006
"The operating loss amounted to EUR 0.8 mn , compared to a profit of EUR 3.9 mn a year earlier .",negative,operating loss amounted eur 08 mn compared profit eur 39 mn earlier
"The period-end cash and cash equivalents totaled EUR6 .5 m , compared to EUR10 .5 m in the previous year .",negative,periodend cash cash equivalent totaled eur6 5 compared eur10 5 previous
"The poorest index figure was given to Finnish power company Fortum , 4.5 .",negative,poorest index figure given finnish power company fortum 45
The real estate company posted a net loss of +  x201a -õ 59.3 million +  x201a -õ 0.21 per share compared with a net profit of +  x201a -õ 31 million +  x201a -õ 0.11 per share for the corresponding quarter of 2007 .,negative,real estate company posted net loss x201a õ 593 million x201a õ 021 per share compared net profit x201a õ 31 million x201a õ 011 per share corresponding quarter 2007
"The tightened competition situation in the production automation market has affected net sales during 2006 , Cencorp said .",negative,tightened competition situation production automation market affected net sale 2006 cencorp said
"TietoEnator was down 1.13 pct to 18.38 , extending recent lows after last week 's second-quarter report , dealers said .",negative,tietoenator decrease 113 pct 1838 extending recent low last secondquarter report dealer said
Operating profit excluding restructuring costs grew to EUR 44.5 million from EUR 31.7 million while operating profit including restructuring costs showed even larger growth to EUR 38.5 million from EUR 7.4 million .,positive,operating profit excluding restructuring cost grew eur 445 million eur 317 million operating profit including restructuring cost showed even larger growth eur 385 million eur 74 million
"Having a China based operation will not only enable us to fully leverage our resources and expertise in wireless solutions , but also strengthen our capability to offer industry-leading products for our customers in China . ''",positive,china based operation enable u fully leverage resource expertise wireless solution strengthen capability offer industryleading product customer china
"Cost cutting measures , which have produced around EUR70m of savings over the past nine months , have dampened the airline 's loss , Finnair said .",positive,cost cutting measure produced around eur70m saving past nine month dampened airline loss finnair said
The groups 's turnover for the full fiscal year is expected to show a slight increase from the previous fiscal year .,positive,groincreases turnover full fiscal expected show slight increase previous fiscal
The talks are aimed at restructuring operations and cutting costs .,positive,talk aimed restructuring operation cutting cost
"`` This transaction supports Huhtamaki 's strategic review of rigid plastic consumer goods operations '' , says Huhtam+Æki Oyj 's CEO Jukka Moisio .",neutral,transaction sincreaseports huhtamaki strategic review rigid plastic consumer good operation say huhtamæki oyj ceo jukka moisio
"Consolidated operating profit excluding one-off items was EUR 30.6 mn , up from EUR 29.6 mn a year earlier .",positive,consolidated operating profit excluding oneoff item eur 306 mn increase eur 296 mn earlier
EBIT excluding non-recurring items was estimated to increase from 2009 .,positive,ebit excluding nonrecurring item estimated increase 2009
"In February 2011 , new wording of Identity Documents Act that makes Mobile ID a state-approved electronic document as of February 1st 2011 entered into force .",neutral,february 2011 new wording identity document act make mobile id stateapproved electronic document february 1st 2011 entered force
Lean System supports change management and component purchasing extremely well .,positive,lean system sincreaseports change management component purchasing extremely well
Operating profit excluding non-recurring items increased by 27 % to EUR 81.9 mn from EUR 64.4 mn in the corresponding period in 2008 .,positive,operating profit excluding nonrecurring item increased 27 percent eur 819 mn eur 644 mn corresponding period 2008
The planned ethanol and energy production plant can operate in correlation with a waste treatment unit or a paper mill .,neutral,planned ethanol energy production plant operate correlation waste treatment unit paper mill
This transaction will also rationalize our pulp and paper industry related solutions .,positive,transaction rationalize pulp paper industry related solution
Cash flow from business operations totalled EUR 0.4 mn compared to a negative EUR 15.5 mn in the first half of 2008 .,positive,cash flow business operation totalled eur 04 mn compared negative eur 155 mn first half 2008
"Cash flow from operations totalled EUR 2.71 mn , compared to a negative EUR 0.83 mn in the corresponding period in 2008 .",positive,cash flow operation totalled eur 271 mn compared negative eur 083 mn corresponding period 2008
"Cash flow from operations totalled EUR 7.4 mn , compared to a negative EUR 68.6 mn in the second quarter of 2008 .",positive,cash flow operation totalled eur 74 mn compared negative eur 686 mn second quarter 2008
"EBIT excluding non-recurring items , totalled EUR 67.8 mn , up from EUR 38.1 mn .",positive,ebit excluding nonrecurring item totalled eur 678 mn increase eur 381 mn
"Finnish energy company Fortum Oyj said on November 13 , 2007 it was granted an environmental permit to build a biofuel-fired combined heat and power CHP plant in Vartan harbor in eastern Stockholm .",positive,finnish energy company fortum oyj said november 13 2007 granted environmental permit build biofuelfired combined heat power chp plant vartan harbor eastern stockholm
"Following the transaction , Lundbeck has worldwide rights for nalmefene , excluding North America , Mexico , Turkey and South-Korea .",positive,following transaction lundbeck worldwide right nalmefene excluding north america mexico turkey southkorea
Nokia was up 0.12 pct to 16.70 eur after kicking off the morning in negative territory .,positive,nokia increase 012 pct 1670 eur kicking morning negative territory
"Return on investment was 5.0 % , compared to a negative 4.1 % in 2009 .",positive,return investment 50 percent compared negative 41 percent 2009
The District Court of Helsinki dismissed all charges as the court of first instance in 2005 .,positive,district court helsinki dismissed charge court first instance 2005
"Thus the method will cut working costs , and will fasten the planning and building processes .",positive,thus method cut working cost fasten planning building process
"By cutting the number of plants , the group will trim fixed costs .",positive,cutting number plant groincrease trim fixed cost
Results are expected late in 2006 .,neutral,result expected late 2006
"The copying , republication or redistribution of AFX News Content , including by framing or similar means , is expressly prohibited without the prior written consent of AFX News .",neutral,copying republication redistribution afx news content including framing similar mean expressly prohibited without prior written consent afx news
"The company reported a profit of 800,000 euro ($ 1.2 mln)on the sale of its Varesvuo Partners sub-group and a loss of 400,000 euro $ 623,000 caused by the sale of its program production subsidiary Oy Filmiteollisuus Fine Ab .",neutral,company reported profit 800000 euro dollar 12 mlnon sale varesvuo partner subgroincrease loss 400000 euro dollar 623000 caused sale program production subsidiary oy filmiteollisuus fine ab
"So far Norwegian Norske Skog has reduced the staff levels by 1,000 people and plans to reduce production by 200,000 tons in 2008 , while Finnish-Swedish Stora Enso is to cut staff by 1,700 people and production by 500,000 tons .",negative,far norwegian norske skog reduced staff level 1000 people plan reduce production 200000 ton 2008 finnishswedish stora enso cut staff 1700 people production 500000 ton
The extracted filtrates are very high in clarity while the dried filter cakes meet required transport moisture limits (TMLs)for their ore grades .,neutral,extracted filtrate high clarity dried filter cake meet required transport moisture limit tmlsfor ore grade
25 March 2011 - Finnish electronics contract manufacturer Scanfil Oyj HEL : SCF1V said today its plan to merge wholly owned Scanfil EMS Group with Ojala-Yhtyma Oy has hit a snag as shareholders of the domestic rival rejected the deal .,negative,25 march 2011 finnish electronics contract manufacturer scanfil oyj hel scf1v said plan merge wholly owned scanfil em groincrease ojalayhtyma oy hit snag shareholder domestic rival rejected deal
"As part of its new strategy , Finnish Biohit is planning to incorporate its diagnostics business into a separate limited company .",neutral,part new strategy finnish biohit planning incorporate diagnostics business separate limited company
Finnish Benefon denies claims made in the press that the company is giving up its mobile handset business .,neutral,finnish benefon denies claim made press company giving increase mobile handset business
"After the split , the number of K shares will be 9 540 000 and the number of A shares 26 885 540 .",neutral,split number k share 9 540 000 number share 26 885 540
All reproduction for further distribution is prohibited .,neutral,reproduction distribution prohibited
As a consequence the Works Council had withdrawn its petition to suspend the reorganisation .,neutral,consequence work council withdrawn petition suspend reorganisation
During the negotiations a reduction of 21 persons has taken place through natural redundancy or termination of fixed-term contracts .,neutral,negotiation reduction 21 person taken place natural redundancy termination fixedterm contract
Elisa CEO Sami Seppanen said EMT 's slogan `` Best coverage across Estonia '' clearly gives misleading information to consumers .,negative,elisa ceo sami seppanen said emt slogan best coverage across estonia clearly give misleading information consumer
"Established in 1987 , the SRV Group is a private Finnish construction concern with operations in Finland , the Baltic countries and Russia .",neutral,established 1987 srv groincrease private finnish construction concern operation finland baltic country russia
"In this case , the effect would be negative in Finland .",negative,case effect negative finland
"Initial estimated total value of the contract was 250 000 Euros , excluding VAT .",neutral,initial estimated total value contract 250 000 euro excluding vat
"It would be premature to talk about dates , volume and the investment procedure , '' he said .",neutral,premature talk date volume investment procedure said
"Mr Clausen , however , refused to comment the option that Nordea would consider buying into Citadele Bank .",neutral,mr clausen however refused comment option nordea consider buying citadele bank
Nokia and Capcom announced that Resident Evil Degeneration will be released on N-Gage later this year .,neutral,nokia capcom announced resident evil degeneration released ngage later
Nokia will certainly disagree with Qualcomm 's views on the patent situation .,negative,nokia certainly disagree qualcomm view patent situation
Olli-Pekka Kallasvuo was elected as vice chairman of the Board .,neutral,ollipekka kallasvuo elected vice chairman board
Olli-Pekka Laine has been appointed as the Chairman and Erkki Pehu-Lehtonen as the Vice Chairman of the Board .,neutral,ollipekka laine appointed chairman erkki pehulehtonen vice chairman board
"Outokumpu 's steel mill in Tornio , in Finland , is the suspected source .",negative,outokumpu steel mill tornio finland suspected source
Possible personnel reductions concern approximately 104 people .,negative,possible personnel reduction concern approximately 104 people
Risk exposure by Non-life Insurance  Moving 12-month  Expenses by function in Non-life Insurance excluding expenses for investment management and expenses for other services rendered Non-life Insurance investment portfolio by allocation,neutral,risk exposure nonlife insurance moving 12month expense function nonlife insurance excluding expense investment management expense service rendered nonlife insurance investment portfolio allocation
"Secure your files online Like filling out a tax return , making a backup is boring .",neutral,secure file online like filling tax return making backincrease boring
"That 's what I go to bed worrying about every night , ' he said .",negative,go bed worrying every night said
"The challenge for the company , however , is finding new sources of raw material , said Risto Rinne , CEO of Neste Oil .",neutral,challenge company however finding new source raw material said risto rinne ceo neste oil
The company initially estimated that it would cut up to 30 jobs .,negative,company initially estimated cut increase 30 job
"The company will try to adapt the operations through temporary lay-offs of different duration , working hour arrangements , training and development efforts .",neutral,company try adapt operation temporary layoff different duration working hour arrangement training development effort
"The effect may remain short-lived , however .",neutral,effect may remain shortlived however
The iPad application joins the iPhone app as part of Monster 's range of mobile applications for job hunting .,neutral,ipad application join iphone app part monster range mobile application job hunting
The issue came up in connection with discussion with local municipalities concerning the sale of water to industrial facilities .,neutral,issue came increase connection discussion local municipality concerning sale water industrial facility
The number of bodily injury cases quadrupled in 2000-2006 .,negative,number bodily injury case quadrincreaseled 20002006
"The purchase price will be paid in cash upon the closure of the transaction , scheduled for April 1 , 2009 .",neutral,purchase price paid cash increaseon closure transaction scheduled april 1 2009
"The size of the extension , 18.5 % of which already has been let , will have a gross area of about 2,830 sq m 30,460 sq ft .",neutral,size extension 185 percent already let gross area 2830 sq 30460 sq ft
The Symbian Foundation plans to revise its procedures for testing and signing software after digitally signing a trojan for its Symbian mobile phone operating system by mistake .,neutral,symbian foundation plan revise procedure testing signing software digitally signing trojan symbian mobile phone operating system mistake
The terms and conditions of the Stock Option Scheme 2008 are available on the Company 's internet pages www.sanoma.com .,neutral,term condition stock option scheme 2008 available company internet page wwwsanomacom
"The third applicant , Fortum , was dropped .",neutral,third applicant fortum dropped
"Tieto 's service is also used to send , process and receive materials related to absentee voting .",neutral,tieto service used send process receive material related absentee voting
